review_id,text,sentiment,sentiment_score,num_entidades,tipos_entidad,entidades
11,"Nos hemos llevado una gran decepción.
Veníamos con la idea de comernos una rica paella al lado de la playa y nos hemos ido comiendonos una paella aceptable sin más en el interior de un local enorme…",NEGATIVE,0.9806,0,,[]
12,"Nos hemos llevado una gran decepción.
Veníamos con la idea de comernos una rica paella al lado de la playa y nos hemos ido comiendonos una paella aceptable sin más en el interior de un local enorme…",NEGATIVE,0.9806,0,,[]
13,"Un poco decepción, después de las buenas recomendaciones vistas creo que el único encanto del sitio es que está cerca de la playa. La comida es aceptable, no te vas a quedar con hambre pero la calidad y la ejecución no son buenas. La fideua…",NEGATIVE,0.8954,0,,[]
14,"Un poco decepción, después de las buenas recomendaciones vistas creo que el único encanto del sitio es que está cerca de la playa. La comida es aceptable, no te vas a quedar con hambre pero la calidad y la ejecución no son buenas. La fideua…",NEGATIVE,0.8954,0,,[]
15,"El lugar muy bonito, la atención buena. Pedimos un calamar a la plancha para picar y era UN calamar con poco sabor. Para plato principal pedimos fideuá… tristísima. Realmente prefiero hacer unos fideos con salsa de tomate en casa y…",NEGATIVE,0.9723,0,,[]
16,"El lugar muy bonito, la atención buena. Pedimos un calamar a la plancha para picar y era UN calamar con poco sabor. Para plato principal pedimos fideuá… tristísima. Realmente prefiero hacer unos fideos con salsa de tomate en casa y…",NEGATIVE,0.9723,0,,[]
17,"Desde luego una decepción. ""Cria fama..."" Mucha propaganda pero nada aconsejable. La paella era insípida, poco gustosa. La amanida pobre y sencilla por el precio q piden. El pan que sirven está bueno. El camarero corriendo arriba y abajo,…",NEGATIVE,0.9741,0,,[]
18,"Desde luego una decepción. ""Cria fama..."" Mucha propaganda pero nada aconsejable. La paella era insípida, poco gustosa. La amanida pobre y sencilla por el precio q piden. El pan que sirven está bueno. El camarero corriendo arriba y abajo,…",NEGATIVE,0.9741,0,,[]
19,"Recordando viejos tiempos en el bully, buena gente, buena comida y mejor servicio. Un acierto seguro 😉💪🏽Más",POSITIVE,0.9709,0,,[]
20,"Es un sitio genial, con camareros muy atentos y amables. Hemos comido de maravilla y los precios son razonables. No es la primera vez que vamos y seguro que volveremos en más ocasiones. Gracias Claudia! #vamosalbullyMás",POSITIVE,0.9811,1,PER,"[{""label"": ""PER"", ""text"": ""Claudia"", ""score"": 0.9909}]"
21,"Un trato muy amable, los platos contundentes y de gran calidad, rapidez en el servicio y el local muy bonito. Tuvieron el detalle de regalarnos una botella de decoración que tenían de muestra Local muy recomendable para volver",POSITIVE,0.9821,0,,[]
22,"Recomendable si quieres sentirte como en casa, buena comida y mejor servicio. Gracias en particular a Ibai,Lander e Iker por ser siempre tan atentos.Más",POSITIVE,0.9808,3,PER,"[{""label"": ""PER"", ""text"": ""Ibai"", ""score"": 0.9945}, {""label"": ""PER"", ""text"": ""Lander"", ""score"": 0.9992}, {""label"": ""PER"", ""text"": ""Iker"", ""score"": 0.9993}]"
23,"Comer en Donosti, al sol en la terraza y en Nochebuena, no tiene precio!! Muchas gracias a Lander y a Ibai por el genial servicio!Más",POSITIVE,0.9811,4,"LOC, PER","[{""label"": ""LOC"", ""text"": ""Donosti"", ""score"": 0.9987}, {""label"": ""LOC"", ""text"": ""Nochebuena"", ""score"": 0.9474}, {""label"": ""PER"", ""text"": ""Lander"", ""score"": 0.9987}, {""label"": ""PER"", ""text"": ""Ibai"", ""score"": 0.9979}]"
24,Servicio rápido y de calidad. Perfecta atención de un tal Ibai! Simpático tras atender a muchísima gente...Más,POSITIVE,0.9767,1,PER,"[{""label"": ""PER"", ""text"": ""Ibai"", ""score"": 0.9427}]"
25,"Servicio muy atento, todo de calidad y un buen precio, nos ha servido ibai, muy majo! Me encantan sus patatas bravas!Más",POSITIVE,0.9824,0,,[]
26,Espectacular y bonito lugar donde nos han atendido unos majisimos camareros. Comida muy rica y buena atencion. Espectacular el camarero ikerMás,POSITIVE,0.9798,0,,[]
27,"Todo muy rico y de buen ambiente. Nuestro camarero Iker muy amable y servicial en todo momento, mejor imposible. Recomendable 100%Más",POSITIVE,0.9811,1,PER,"[{""label"": ""PER"", ""text"": ""Iker"", ""score"": 0.9957}]"
28,"Muy amable y agradable todo gracias al camarero Iker, con este dia de lluvia nos ha buscado el mejor sitio posible y acogedor para unos cuantos amigos. Muy recomendable!! Volveremos😊Más",POSITIVE,0.9857,1,PER,"[{""label"": ""PER"", ""text"": ""Iker"", ""score"": 0.9992}]"
29,Buen sitio para comer arroces en primera línea de playa. Hay que reservar ya que  siempre está lleno. La atención fue buena por parte del camarero. La comida está buena pero no me sorprendió especialmente. Esperaba las mejores paellas de…,POSITIVE,0.964,0,,[]
30,Buen sitio para comer arroces en primera línea de playa. Hay que reservar ya que  siempre está lleno. La atención fue buena por parte del camarero. La comida está buena pero no me sorprendió especialmente. Esperaba las mejores paellas de…,POSITIVE,0.964,0,,[]
